Language_ID,Feature,Vale
bar1,A,ka
bar1,A,yu
bar1,A,sa
bar1,A,ria
bar1,A,ruyu
bar1,B,ruyu
bar1,B,yu
bar1,B,sa
bar1,B,ria
bar1,C,ha
bar1,C,bu
bar1,C,ruyu
bar1,C,yu
bar1,C,sa
bar1,C,ria
bar1,R,a
bar1,R,s
bar1,R,ro
bar1,R,go
bar1,R,gu
bar1,R,ra
bar1,XYZ,go
bar1,XYZ,gu
bar1,XYZ,ra
bar1,XYZ,ro
lat1,R,u
lat1,R,I
lat1,R,
lat1,R,am
lat1,R,at
lat1,R,ju
lat1,R,
lat1,R,
lat1,R,jam
lat1,R,jat
lat1,ABC,u
lat1,ABC,I
lat1,ABC,a
lat1,ABC,am
lat1,ABC,at
lat1,ABC,ju
lat1,ABC,ji
lat1,ABC,ja
lat1,ABC,jam
lat1,ABC,jat
lat1,XYZ,su
lat1,XYZ,si
lat1,XYZ,s
lat1,XYZ,sim
lat1,XYZ,siet
lat1,XYZ,sit
lez1,ABC,nwa
lez1,ABC,nawa
lez1,ABC,na
lez1,RXYZ,da
ets1,ABCR,se
ets1,XYZ,te
ets1,XYZ,nko
tur1,XYZ,ecek
tur1,R,ir
tur1,R,er
tur1,R,r
tur1,ABC,di
ita1,ABC,aki
ita1,R,ta
ita1,XYZ,ke?e
inã1,ABCRX,
inã1,YZ,ko
hun1,R,ok
hun1,R,ek
hun1,R,ok
hun1,R,om
hun1,R,em
hun1,R,om
hun1,R,sz
hun1,R,esz
hun1,R,ol
hun1,R,el
hun1,R,ol
hun1,R,ik
hun1,R,anak
hun1,R,enek
hun1,R,unk
hun1,R,unk
hun1,R,tok
hun1,R,tek
hun1,R,tok
hun1,R,otok
hun1,R,etok
hun1,R,otok
hun1,R,nak
hun1,R,nek
hun1,ABC,ottok
hun1,ABC,ottek
hun1,ABC,ottok
hun1,ABC,ottom
hun1,ABC,ottem
hun1,ABC,ottom
hun1,ABC,ottsz
hun1,ABC,ottesz
hun1,ABC,ottol
hun1,ABC,ottel
hun1,ABC,ottol
hun1,ABC,ottik
hun1,ABC,ottanak
hun1,ABC,ottenek
hun1,ABC,ottunk
hun1,ABC,ottunk
hun1,ABC,otttok
hun1,ABC,otttek
hun1,ABC,otttok
hun1,ABC,ottotok
hun1,ABC,ottetok
hun1,ABC,ottotok
hun1,ABC,ottnak
hun1,ABC,ottnek
hun1,ABC,ettok
hun1,ABC,ettek
hun1,ABC,ettok
hun1,ABC,ettom
hun1,ABC,ettem
hun1,ABC,ettom
hun1,ABC,ettsz
hun1,ABC,ettesz
hun1,ABC,ettol
hun1,ABC,ettel
hun1,ABC,ettol
hun1,ABC,ettik
hun1,ABC,ettanak
hun1,ABC,ettenek
hun1,ABC,ettunk
hun1,ABC,ettunk
hun1,ABC,etttok
hun1,ABC,etttek
hun1,ABC,etttok
hun1,ABC,ettotok
hun1,ABC,ettetok
hun1,ABC,ettotok
hun1,ABC,ettnak
hun1,ABC,ettnek
hun1,ABC,ottok
hun1,ABC,ottek
hun1,ABC,ottok
hun1,ABC,ottom
hun1,ABC,ottem
hun1,ABC,ottom
hun1,ABC,ottsz
hun1,ABC,ottesz
hun1,ABC,ottol
hun1,ABC,ottel
hun1,ABC,ottol
hun1,ABC,ottik
hun1,ABC,ottanak
hun1,ABC,ottenek
hun1,ABC,ottunk
hun1,ABC,ottunk
hun1,ABC,otttok
hun1,ABC,otttek
hun1,ABC,otttok
hun1,ABC,ottotok
hun1,ABC,ottetok
hun1,ABC,ottotok
hun1,ABC,ottnak
hun1,ABC,ottnek
hun1,XYZ,fogok
hun1,XYZ,fogsz
hun1,XYZ,fog
hun1,XYZ,fogunk
hun1,XYZ,fogtok
hun1,XYZ,fognak
hun1,XYZ,fogom
hun1,XYZ,fogod
hun1,XYZ,fogja
hun1,XYZ,fogjuk
hun1,XYZ,fogjatok
hun1,XYZ,fogjak
pit1,ABC,ata
pit1,ABC,ti
pit1,ABC,ati
pit1,ABC,ta
pit1,R,
pit1,XYZ,ani
pit1,XYZ,ni
ana1,A,ye
ana1,A,txowni
ana1,A,yakoni
ana1,A,yatxkoni
ana1,B,yako
ana1,B,yatxoko
ana1,B,yaknano
ana1,B,yatxkenano
ana1,C,no
ana1,C,txowi
ana1,RXYZ,yaha
ana1,RXYZ,yatxhe
ana1,RXYZ,yano
ana1,RXYZ,tyatxowi
ild1,ABC,tha
ild1,ABC,tharri
ild1,ABC,tharra
ild1,XYZ,thu
ild1,XYZ,thuru
ild1,XYZ,nangku
ild1,XYZ,nangkuru
ild1,R,thi
ire1,R,
ire1,AB,na
ire1,C,ni
ire1,X,si
ire1,X,se
ire1,X,si
ire1,X,caa
ire1,YZ,seba
ire1,YZ,siba
ire1,YZ,siba
ire1,YZ,caaba
ire1,YZ,sebu
ire1,YZ,sibu
ire1,YZ,sibu
ire1,YZ,caabu
mil1,ABC,d
mil1,ABC,nd
mil1,ABC,in
mil1,ABC,nd
mil1,ABC,nj
mil1,ABC,n
mil1,ABC,nn
mil1,ABC,tt
mil1,ABC,tt
mil1,ABC,tt
mil1,ABC,tt
mil1,ABC,cc
mil1,R,r
mil1,R,r
mil1,R,r
mil1,R,r
mil1,R,r
mil1,R,r
mil1,R,r
mil1,R,gr
mil1,R,kr
mil1,R,kkr
mil1,R,kkr
mil1,R,kkr
mil1,R,kkr
mil1,XYZ,v
mil1,XYZ,v
mil1,XYZ,v
mil1,XYZ,v
mil1,XYZ,v
mil1,XYZ,v
mil1,XYZ,v
mil1,XYZ,b
mil1,XYZ,pp
mil1,XYZ,pp
mil1,XYZ,pp
mil1,XYZ,pp
mil1,XYZ,pp
est1,ABCR,
est1,XYZ,ssa
est1,XYZ,niar
est1,XYZ,jumaar
lak1,A,me
lak1,B,re
lak1,C,
lak1,C,f
lak1,C,fe
lak1,C,tawe
lak1,R,
lak1,XYZ,rhw
lak1,XYZ,rah
iri1,ABCR,
iri1,XYZ,waa
iri1,XYZ,wa
nda1,ABC,fna
nda1,ABC,fan
nda1,ABC,n
nda1,RXYZ,f
nda1,RXYZ,fa
nda1,XYZ,fef
yma1,ABCR,
yma1,XYZ,t
yma1,XYZ,te
rin1,XYZ,hui
rin1,ABCR,
ean1,ABCR,
ean1,XYZ,ket
ati1,A,ki
ati1,B,to
ati1,C,ti
ati1,R,sa
ati1,XYZ,laho
eca1,ABCR,wa
eca1,ABCR,o
eca1,XYZ,
eca1,XYZ,e
ama1,ABC,u
ama1,R,I
ama1,XYZ,ut
nki1,ABC,chA
nki1,ABC,ngki
nki1,CR,rA
nki1,R,dArA
nki1,X,dAnA
nki1,Y,dA
nki1,XYZ,dAngA
lof1,ABC,naa
lof1,ABC,nga
lof1,ABC,na
lof1,ABC,nau
lof1,ABC,ngeen
lof1,ABC,nanu
lof1,R,nge
lof1,R,nga
lof1,R,ngi
lof1,XYZ,dinaa
lof1,XYZ,dinga
lof1,XYZ,dina
lof1,XYZ,dinan
lof1,XYZ,dingeen
lof1,XYZ,dinan
ind1,ABCR,
ind1,XY,akan
ulu1,A,a
ulu1,BC,e
ulu1,BC,ile
ulu1,R,
ulu1,X,zaku
ulu1,X,za
ulu1,YZ,yaku
ulu1,YZ,ya
nui1,ABC,ko
nui1,ABC,I
nui1,RXYZ,he
nui1,RXYZ,e
nui1,XYZ,ka
nui1,XYZ,ki
ewa1,A,su
ewa1,A,si
ewa1,A,sa
ewa1,A,sipa
ewa1,A,sipi
ewa1,A,sima
ewa1,A,simi
ewa1,A,su
ewa1,A,si
ewa1,A,sa
ewa1,A,sipa
ewa1,A,sipi
ewa1,A,sima
ewa1,A,simi
ewa1,ABC,ru
ewa1,ABC,ri
ewa1,ABC,ria
ewa1,ABC,ripa
ewa1,ABC,ripi
ewa1,ABC,rima
ewa1,ABC,rimi
ewa1,ABC,wa
ewa1,ABC,e
ewa1,ABC,a
ewa1,ABC,pa
ewa1,ABC,pe
ewa1,ABC,ma
ewa1,ABC,me
ewa1,R,to
ewa1,R,te
ewa1,R,ta
ewa1,R,tepa
ewa1,R,tepe
ewa1,R,tema
ewa1,R,teme
ewa1,R,lo
ewa1,R,e
ewa1,R,la
ewa1,R,lepa
ewa1,R,lepe
ewa1,R,lema
ewa1,R,leme
ewa1,XYZ,lua
ewa1,XYZ,li
ewa1,XYZ,lia
ewa1,XYZ,lipa
ewa1,XYZ,lipi
ewa1,XYZ,lima
ewa1,XYZ,limi
hoe1,A,ke
hoe1,BC,ko
hoe1,R,
hoe1,XYZ,nii
tho1,AB,ilekea
tho1,AB,ileua
tho1,AB,ileoa
tho1,AB,ilerea
tho1,AB,ilelea
tho1,AB,ilebaa
tho1,C,ile
tho1,C,itse
tho1,C,tse
tho1,R,kea
tho1,R,ke
tho1,R,ua
tho1,R,u
tho1,R,oa
tho1,R,o
tho1,R,rea
tho1,R,re
tho1,R,lea
tho1,R,le
tho1,R,baa
tho1,R,ba
tho1,XYZ,ketla
tho1,XYZ,utla
tho1,XYZ,otla
tho1,XYZ,retla
tho1,XYZ,letla
tho1,XYZ,batla
uyu1,A,aire
uyu1,B,raaire
uyu1,C,aa
uyu1,R,raa
uyu1,X,ikua
uyu1,Y,riia
uyu1,Z,kaaa
ese1,RXYZ,
ese1,ABC,ta
ese1,ABC,tta
ese1,ABC,nda
ese1,ABC,ita
ese1,ABC,ida
ese1,ABC,shita
ese1,ABC,anakatta
ese1,ABC,nakatta
