Language,Family,Source,Page,A,H,HQ,I,IA,IAHQ,IH,Q,S,SIAHQ,V,VS,VSI,<NA>,Comment
!Xun,Kxa,Aikhenvald2004,149,,,,,,,,,,,,,,,
Abkhaz,Abkhaz-Adyge,Aikhenvald2004,29-30,,,,,,a,,,,,,,,,
Achagua,Arawakan,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Adioukrou,Atlantic-Congo,Aikhenvald2004,135,,,,,,,,,,,,,,,
Afghan Persian,Indo-European,Aikhenvald2004,109,,,,,,,,,,,,,,,
Aguaruna,Chicham,Aikhenvald2004,137,,,,,,,,,,,,,,,
Agul,Nakh-Daghestanian,Aikhenvald2004,143,,,,,,,,a,,,,,,,
Albanian,Indo-European,Aikhenvald2004,40,,,,,,a,,,,,,b,,,
Algonquian,NA,Aikhenvald2004,42,,,,,,,,,,,,,,,
Amdo Tibetan,Sino-Tibetan,Aikhenvald2004,45,,,c,,b,,,,,,,a,,,
Andean Spanish,Indo-European,Aikhenvald2004,21,,,,,,,,,,,,,,,
Arabela,Zaparoan,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Arabic,Afro-Asiatic,Aikhenvald2004,10,,,,,,,,,,,,,,,
Archi,Nakh-Daghestanian,Aikhenvald2004,29,,,c,,b,,,,,,,a,,,
Arizona Tewa,Kiowa-Tanoan,Aikhenvald2004,42,,,,,,a,,,,,,,,,
Armenian,Indo-European,Aikhenvald2004,39,,,,,,a,,,,,,,,,
Arrernte,Pama-Nyungan,Aikhenvald2004,33,,,a,,,,,,,,,,,,
Avar,Nakh-Daghestanian,Aikhenvald2004,38,,,,,,,,,,,,,,,
Aymara,Aymaran,Aikhenvald2004,43,,,c,,b,,,,,,,a,,,
Bagvalal,Nakh-Daghestanian,Aikhenvald2004,155,,,,,,,,,,,,a,,,
Balkan Slavic,Indo-European,Aikhenvald2004,40;158,,,,,,a,,,,,,b,,,
Baniwa,Arawakan,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Barasano,Tucanoan,Aikhenvald2004,51,,,d,,c,,,,b,,a,,,,
Bora,Boran,Aikhenvald2004,44,,,c,,b,,,,,,,a,,,
Bulgarian,Indo-European,Aikhenvald2004,288,,,,,,a,,,,,,b,,,
Capanawa,Pano-Tacanan,Aikhenvald2004,46,,,c,,b,,,,,,,a,,,
Cashibo,Pano-Tacanan,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Central Pomo,Pomoan,Aikhenvald2004,61,d,f,,c,,,,e,b,,a,,,,
Chemehuevi,Uto-Aztecan,Aikhenvald2004,51,,,,,,,,a,,,,,,,
Cherokee,Iroquoian,Aikhenvald2004,26-27,,,,,,b,,,,,,a,,,
Chipewyan,Athabaskan-Eyak-Tlingit,Aikhenvald2004,31,,,,,,,a,,,,,,,,
Chukchi,Chukotko-Kamchatkan,Aikhenvald2004,,,,,,,,,,,,,,,,
Circassian,Abkhaz-Adyge,Aikhenvald2004,293,,,,,,a,,,,,,,,,
Colombian Spanish,Indo-European,Aikhenvald2004,141,,,,,,,,,,,,,,,
Comanche,Uto-Aztecan,Aikhenvald2004,50,,a,,,,,,b,,,,,,,
Cora,Uto-Aztecan,Aikhenvald2004,57,,c,,,b,,,d,,,,a,,,
Cree,Algic,Aikhenvald2004,42,,,,,,a,,,,,,,,,
Cree/Montagnais/Naskapi,Algic,Aikhenvald2004,42,,,,,,a,,,,,,,,,
Cupeno,Uto-Aztecan,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Dakota,Siouan,Aikhenvald2004,51,,a,,,,,,b,,,,,,,
Dani,Nuclear Trans New Guinea,Aikhenvald2004,,,,,,,,,,,,,,,,
Daw,Naduhup,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Desano,Tucanoan,Aikhenvald2004,60,d,,e,c,,,,,b,,a,,,,
Diyari,Pama-Nyungan,Aikhenvald2004,34,,,a,,,,,,,,,b,,,
Donno Saw,Dogon,Aikhenvald2004,133,,,,,,,,,,,,,,,
Dulong,Sino-Tibetan,Aikhenvald2004,47,,,c,,,,,,b,,a,,,,
Dutch,Indo-European,Aikhenvald2004,17,,,,,,,,,,,,,,,
Dyirbal,Pama-Nyungan,Aikhenvald2004,132,,,,,,,,,,,,,,,
Eastern Pomo,Pomoan,Aikhenvald2004,52,,,d,,c,,,,b,,a,,,,
Enets,Uralic,Aikhenvald2004,47,,,c,,b,,,,a,,,,,,
Enga,Nuclear Trans New Guinea,Aikhenvald2004,32,,,a,,,,,,,,,,,,
English,Indo-European,Aikhenvald2004,10,,,,,,,,,,,,,,,
Estonian,Uralic,Aikhenvald2004,33,,,a,,,,,,,,,,,,
Fasu,Fasu,Aikhenvald2004,62-63,,d,,c,,,,e,b,,a,,,,
French,Indo-European,Aikhenvald2004,17,,,,,,,,,,,,,,,
Gaviao,Tuplan,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Georgian,Kartvelian,Aikhenvald2004,38,,,,,,,,,,,,,,,
German,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,,,
Godoberi,Nakh-Daghestanian,Aikhenvald2004,28,,,,,,b,,,,,,a,,,
Greek,Indo-European,Aikhenvald2004,150,,,,,,,,,,,,,,,
"Guarani, Paraguayan",Tuplan,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Hare,Athabaskan-Eyak-Tlingit,Aikhenvald2004,31,,,,,,,a,,,,,,,,
Hebrew,Afro-Asiatic,Aikhenvald2004,10,,,,,,,,,,,,,,,
Hopi,Uto-Aztecan,Aikhenvald2004,45,,,a,,b,,,,,,,c,,,
Hunzib,Nakh-Daghestanian,Aikhenvald2004,29,,,,,,a,,,,,,,,,
Hupa,Athabaskan-Eyak-Tlingit,Aikhenvald2004,31,d,,,c,,,,,b,,a,,,,
Hupda,Naduhup,Aikhenvald2004,60,d,,e,c,,,,,b,,a,,,,
Ignaciano,Arawakan,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Irantxe,Irantxe,Aikhenvald2004,75,,,,,,,,,,,,,,,
Ishkashim,Indo-European,Aikhenvald2004,38,,,,,,,,,,,,,,,
Istanbul Judezmo,Indo-European,Aikhenvald2004,114,,,,,,,,,,,,,,,
Japanese,Japonic,Aikhenvald2004,81,,,,,,,,,,,,,,,
Jarawara,Arawan,Aikhenvald2004,23-24;26,,,c,,b,,,,,,,a,,,
Kalasha,Indo-European,Aikhenvald2004,28,,,,,,b,,,,,,a,,,
Kambera,Austronesian,Aikhenvald2004,140-141,,,,,,,,,,,,,,,
Karitiana,Tuplan,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Kashaya,Pomoan,Aikhenvald2004,60,,,d,c,,,,,b,,a,,,,
Kato,Athabaskan-Eyak-Tlingit,Aikhenvald2004,31,,,,,,,a,,,,,,,,
Kazakh,Turkic,Aikhenvald2004,40,,,,,,b,,,,,,a,,,
Ket,Yeniseian,Aikhenvald2004,290,,,,,,,,,,,,,,,
Kham,Sino-Tibetan,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Khowar,Indo-European,Aikhenvald2004,24,,,,,,b,,,,,,a,,,
Kombai,Nuclear Trans New Guinea,Aikhenvald2004,137,,,a,,,,,,,,,,,,
Komi,Uralic,Aikhenvald2004,28,,,,,,b,,,,,,a,,,
Korean,Koreanic,Aikhenvald2004,,,,,,,,,,,,,,,,
Koreguaje,Tucanoan,Aikhenvald2004,44,,,c,,b,,,,,,,a,,,
Kurdish,Indo-European,Aikhenvald2004,289,,,,,,,,,,,,a,,,
Kwakiutl,Wakashan,Aikhenvald2004,59,b,c,,,,,,d,,,,,a,,
Ladakhi,Sino-Tibetan,Aikhenvald2004,53,,,d,,c,,,,b,,a,,,,
Latvian,Indo-European,Aikhenvald2004,33,,,a,,,,,,,,,,,,
Lezgian,Nakh-Daghestanian,Aikhenvald2004,31,,,a,,,,,,,,,,,,
Lillooet,Salishan,Aikhenvald2004,59,c,,b,a,,,,,,,,,,,
Livonian,Uralic,Aikhenvald2004,33,,,a,,,,,,,,,,,,
Macedonian,Indo-European,Aikhenvald2004,40,,,,,,a,,,,,,b,,,
Macuna,Tucanoan,Aikhenvald2004,52,,,d,,c,,,,b,,a,,,,
Maidu,Maiduan,Aikhenvald2004,46,,,c,,b,,,,,,,a,,,
Makah,Wakashan,Aikhenvald2004,,,,,,,,,,,,,,,,
Mamainde,Nambiquaran,Aikhenvald2004,56,c,,d,b,,,,,,,a,,,,
Mangap-Mbula,Austronesian,Aikhenvald2004,28,,,,,,b,,,,,,a,,,
Mansi,Uralic,Aikhenvald2004,31,,,,,,,,,,a,,,,,
Mari,Uralic,Aikhenvald2004,28,,,,,,b,,,,,,a,,,
Maricopa,Cochimi-Yuman,Aikhenvald2004,47,,,c,,,,,,b,,a,,,,
Megleno-Romanian,Indo-European,Aikhenvald2004,288,,,,,,a,,,,,,b,,,
Megrelian,Kartvelian,Aikhenvald2004,31,,,,,,,,,,a,,,,,
Meithei,Sino-Tibetan,Aikhenvald2004,31,,,,,,,,,a,,,,,,
Menomini,Algic,Aikhenvald2004,33,,,,,,,,a,,,,,,,
Moseten,Moseten,Aikhenvald2004,44,,,c,,b,,,,,,,a,,,
Nenets,Uralic,Aikhenvald2004,31,,,,,,,,,,a,,,,,
Nepali,Indo-European,Aikhenvald2004,291,,,,,,a,,,,,,,,,
Nganasan,Uralic,Aikhenvald2004,47,,,d,,c,,,,b,,a,,,,
Ngiyambaa,Pama-Nyungan,Aikhenvald2004,34,,,b,,,,,,,,,a,,,
Nivkh,Nivkh,Aikhenvald2004,290,,,,,,,,,,,,,,,
Northern Embera,Chocoan,Aikhenvald2004,58,,c,,,b,,,d,,,,a,,,
Northern Khanty,Uralic,Aikhenvald2004,155-156,,,,,,,,,,a,,,,,
Oksapmin,Nuclear Trans New Guinea,Aikhenvald2004,46,,,c,,,,,,b,,a,,,,
Omaha,Siouan,Aikhenvald2004,33,,,a,,,,,,,,,,,,
Panare,Cariban,Aikhenvald2004,253,,,,,,,,,,,,,,,
Pareci,Arawakan,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Paumari,Arawan,Aikhenvald2004,284,,,,,,,,,,,,,,,
Pawnee,Caddoan,Aikhenvald2004,56,c,,d,b,,,,,,,a,,,,
Persian,Indo-European,Aikhenvald2004,38,,,,,,,,,,,,,,,
Piapoco,Arawakan,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Piro,Kiowa-Tanoan,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Ponca,Siouan,Aikhenvald2004,33-34,,,c,,b,,,,,,,a,,,
Portuguese,Indo-European,Aikhenvald2004,37,,,,,,,,,,,,,,,
Potawatomi,Algic,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Qiang,Sino-Tibetan,Aikhenvald2004,44-45,,,c,,b,,,,,,a,,,,
Quechua,Quechuan,Aikhenvald2004,43,,,c,,b,,,,,,,a,,,
Resigaro,Arawakan,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Retuara,Tucanoan,Aikhenvald2004,49,,,c,,b,,,,,,,a,,,
Russian,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,,,
Santali,Austroasiatic,Aikhenvald2004,131,,,,,,,,,,,,,,,
Sanuma,Yanomamic,Aikhenvald2004,18;46,,,c,,b,,,,,,,a,,,
Secoya,Tucanoan,Aikhenvald2004,28,,,,,,b,,,,,,a,,,
Serbian,Indo-European,Aikhenvald2004,288,,,,,,a,,,,,,b,,,
Shasta,Shastan,Aikhenvald2004,43,,,c,,b,,,,,,,a,,,
Shibacha Lisu,Sino-Tibetan,Aikhenvald2004,54,,,d,,c,,,,b,,a,,,,
Shilluk,Nilotic,Aikhenvald2004,43,,,c,,b,,,,,,,a,,,
Shipibo-Konibo,Pano-Tacanan,Aikhenvald2004,55,c,,d,b,,,,,,,,a,,,
Shoshone,Uto-Aztecan,Aikhenvald2004,33-34,,,a,,,,,,,,,,,,
Siona,Tucanoan,Aikhenvald2004,46,,,,,,c,,,b,,a,,,,
Siriano,Tucanoan,Aikhenvald2004,51-52,,,d,,c,,,,b,,a,,,,
Sissala,Atlantic-Congo,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Skidegate Haida,Haida,Aikhenvald2004,46,,,c,,b,,,,,,,a,,,
Southeastern Tepehuan,Uto-Aztecan,Aikhenvald2004,58,,c,,,b,,,d,,,,a,,,
Southern Nambiquera,Nambiquaran,Aikhenvald2004,61,c,,d,b,,,,,,,a,,,,
Spanish,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,,,
Surui,Tuplan,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Svan,Kartvelian,Aikhenvald2004,76,,,,,,,,,,a,,,,,
Tajik,Indo-European,Aikhenvald2004,289,,,,,,,,,,,,a,,,
Takelma,Takelma,Aikhenvald2004,41,,,,,,a,,,,,,,,,
Tarascan,Tarascan,Aikhenvald2004,41-42,,,,,,a,,,,,,,,,
Tariana,Arawakan,Aikhenvald2004,1-3;52,d,,e,c,,,,,b,,a,,,,
Tatuyo,Tucanoan,Aikhenvald2004,51,,,d,,c,,,,b,,a,,,,
Tauya,Nuclear Trans New Guinea,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Terena,Arawakan,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Thompson,Salishan,Aikhenvald2004,59,c,,d,b,,,,,,,,a,,,
Tibetan,Sino-Tibetan,Aikhenvald2004,28,,,,,,a,,,,,,b,,,
Tonkawa,Tonkawa,Aikhenvald2004,51,,a,,,,,,b,,,,,,,
Tsafiki,Barbacoan,Aikhenvald2004,54,c,,d,b,,,,,,,a,,,,
Tsez,Nakh-Daghestanian,Aikhenvald2004,28,,,,,,b,,,,,,a,,,
Tucano,Tucanoan,Aikhenvald2004,51-53,,,d,,c,,,,b,,a,,,,
Turkish,Turkic,Aikhenvald2004,155,,,,,,,,,,a,,,,,
Turkmen,Turkic,Aikhenvald2004,40,,,,,,b,,,,,,a,,,
Tuvaluan,Austronesian,Aikhenvald2004,359,,,,,,,,,,,,,,,
Tuyuca,Tucanoan,Aikhenvald2004,60,d,,e,c,,,,,b,,a,,,,
Ubykh,Abkhaz-Adyge,Aikhenvald2004,293,,,,,,,,,,,,,,,
Udmurt,Uralic,Aikhenvald2004,28,,,,,,b,,,,,,a,,,
Uyghur,Turkic,Aikhenvald2004,40,,,,,,b,,,,,,a,,,
Uzbek,Turkic,Aikhenvald2004,40,,,,,,b,,,,,,a,,,
Vlach Romani,Indo-European,Aikhenvald2004,38,,,,,,,,,,,,,,,
Warlpiri,Pama-Nyungan,Aikhenvald2004,62,,,a,,,,,,,,,,,,
Wasco-Wishram,Chinookan,Aikhenvald2004,39,,,,,,,,,,,,,,,
Washo,Washo,Aikhenvald2004,46,,,,,c,,,,b,,a,,,,
Waura,Arawakan,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Weyewa,Austronesian,Aikhenvald2004,359,,,,,,,,,,,,,,,
Wichita,Caddoan,Aikhenvald2004,59-60,,,d,c,,,,,b,,a,,,,
Wintu,Wintuan,Aikhenvald2004,60,d,,e,c,,,,,b,,a,,,,
Xakas,Turkic,Aikhenvald2004,30,,,,,,,,,,a,,,,,
Xamatauteri,Yanomamic,Aikhenvald2004,18;56,c,,d,b,,,,,,,a,,,,
Yanam,Yanomamic,Aikhenvald2004,18,,,,,,b,,,,,,a,,,
Yankunytjatjara,Pama-Nyungan,Aikhenvald2004,33,,,a,,,,,,,,,,,,
Yuhup,Naduhup,Aikhenvald2004,292,d,,e,c,,,,,b,,a,,,,
Yukaghir,Yukaghir,Aikhenvald2004,24;27,,,,,,b,,,,,,a,,,
Zazaki,Indo-European,Aikhenvald2004,38-39,,,,,,,,,,,,,,,
